Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 0,90.77%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 1,91.79%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 2,91.49%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 3,91.39%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 4,91.39%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 5,91.52%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 6,92.14%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 7,91.41%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 8,91.74%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 9,91.49%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 10,92.04%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 11,91.86%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 12,91.60%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 13,91.76%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 14,92.12%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 15,91.74%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 16,92.07%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 17,91.89%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 18,92.13%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 19,92.01%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 20,91.95%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 21,91.40%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 22,91.81%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 23,92.09%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 24,92.05%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 25,92.71%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 26,91.99%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 27,91.88%
Classifier: RandomForest options: -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 Window size: 128 Overlap: 28,91.97%
