Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 0, 77.60903426791276%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 1, 77.2239263803681%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 2, 77.01367781155015%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 3, 77.90785498489427%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 4, 77.6706231454006%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 5, 76.95427728613569%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 6, 78.1798245614035%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 0, 77.60903426791276%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 1, 77.2239263803681%
Classifier: BayesNet options: -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAEYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5 Window size: 128 Overlap: 2, 77.01367781155015%
